livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
120.0,2.0,1.0,2.0,1994.0,2.0,3.0,154.0,,50.9092428,4.307110499999999,,flat,Flemish Brabant,Flanders,B,B,Fully equipped,Gas,0,0,1,0,0,1,1,0,0,1,1300.0,66.0
100.0,2.0,1.0,,1990.0,1.0,,,,50.3963243,5.397987,22.05,flat,Liège,Wallonia,D,Normal,,Gas,0,0,0,0,0,0,0,0,0,0,775.0,31.3
83.0,2.0,1.0,1.0,,,,120.0,,51.2305887,4.4103398,,flat,Antwerp,Flanders,B,A,,,0,0,1,0,0,0,0,0,0,1,1190.0,67.7
200.0,4.0,1.0,2.0,1997.0,4.0,1.0,,800.0,50.710184,4.6334515,,house,Walloon Brabant,Wallonie,B,,Fully equipped,Gas,0,0,1,1,1,0,1,0,0,1,2550.0,60.5
,,,,,,,,,50.81453,4.3381,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,1700.0,75.5
87.0,2.0,1.0,,,,,,,50.8419322,4.5022821,,flat,Flemish Brabant,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,1200.0,59.2
,,,,,,,,,50.8540484,4.3567878,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,815.0,79.4
100.0,1.0,1.0,,,2.0,,452.0,100.0,50.391108,4.2729083,12.1,house,Hainaut,Wallonia,F,Normal,Fully equipped,Fuel oil,0,0,0,0,0,0,1,0,0,0,715.0,12.9
93.0,2.0,1.0,1.0,,2.0,10.0,222.0,,50.6469574,5.5938381,,flat,Liège,Wallonie,C,B,Fully equipped,Gas,0,0,1,0,0,1,0,0,0,0,800.0,28.3
136.0,3.0,1.0,,,2.0,,,,50.4122892,4.3241327,,house,Hainaut,Wallonie,C,A,Fully equipped,Gas,0,0,1,0,0,0,0,0,0,0,900.0,25.8
30.0,0.0,1.0,1.0,,2.0,2.0,,,50.7130451,4.5313534,,flatStudio,Walloon Brabant,Wallonie,E,B,,,0,0,0,0,0,0,0,0,0,0,650.0,48.2
151.0,3.0,1.0,1.0,,2.0,2.0,183.0,,50.8200164,4.3356138,3.13,flat,Brussels,Brussels,D,Excellent,Super equipped,Gas,0,0,1,0,0,0,0,0,0,0,2450.0,74.6
127.0,2.0,2.0,2.0,,2.0,4.0,137.0,,50.8360665,4.4277459,5.59,flat,Brussels,Brussels,C,Excellent,Super equipped,Gas,0,0,1,0,0,0,0,0,0,0,1850.0,72.7
80.0,2.0,1.0,2.0,,2.0,,114.0,,50.8381484,4.4329851,5.91,flat,Brussels,Brussels,C,Excellent,,,0,1,1,1,0,1,0,0,0,1,2250.0,72.3
200.0,3.0,1.0,,,,,,,50.7131152,5.6206917,,house,Liège,Wallonia,E,,,,0,0,0,0,0,0,0,0,0,0,1010.0,20.5
75.0,1.0,1.0,1.0,2025.0,3.0,4.0,33.0,,50.844055,4.4011661,3.61,flat,Brussels,Brussels,A,New,Super equipped,Gas,1,1,1,0,0,1,1,0,0,0,2300.0,65.1
,2.0,1.0,2.0,,,,165.0,,50.961774,4.454509,7.59,flat,Flemish Brabant,Flanders,B,,,,0,0,1,0,0,0,0,0,0,0,950.0,36.7
146.0,1.0,1.0,1.0,,3.0,5.0,65.0,,50.9603809,4.2298213,13.73,loft,Flemish Brabant,Flanders,A,Excellent,Super equipped,Hot air,0,0,1,0,0,1,0,0,0,1,1750.0,36.5
108.0,3.0,1.0,,,,,,,50.9226385,3.2243701,,house,West Flanders,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,1050.0,13.5
150.0,4.0,1.0,2.0,2006.0,2.0,2.0,,200.0,50.001174,5.349472,,house,Luxembourg,Wallonie,C,A,,Fuel oil,0,0,1,1,0,0,0,0,0,1,875.0,30.0
100.0,2.0,1.0,1.0,,2.0,3.0,190.0,,50.86744,4.37727,3.0,duplex,Brussels,Brussels,D,Fully renovated,Fully equipped,Gas,0,0,1,0,0,0,0,0,0,0,1335.0,70.4
